dataset,seed,architecture_id,rotations,entanglement,reps,twoq_count,logical_depth,n_params,train_loss,fit_bacc,val_bacc,test_bacc,test_auc,test_logloss,test_brier
breast_cancer,43,A018,rx+rz,full_chain,3,9,13,24,0.3016734230780772,0.9199999999999999,0.8733333333333333,0.9016227180527383,0.9810682893847193,0.27249276725803523,0.07622970763565362
breast_cancer,43,A020,rx+rz,outer_pairs,1,2,4,8,0.3102667910416726,0.9199999999999999,0.8733333333333333,0.9016227180527383,0.9803921568627452,0.2814276095753911,0.07878981104958535
breast_cancer,43,A022,rx+rz,outer_pairs,3,6,10,24,0.3236544588648155,0.9116666666666666,0.8733333333333333,0.9016227180527383,0.9803921568627452,0.30334037253561996,0.0833101606445901
breast_cancer,43,A025,rx+rz,left_ladder,2,4,9,16,0.30718853399292295,0.9199999999999999,0.8733333333333333,0.9016227180527383,0.9803921568627452,0.2766970949391701,0.0778153127814003
breast_cancer,43,A037,ry+rz,outer_pairs,2,4,7,16,0.2777284163473963,0.915,0.8966666666666667,0.8867478025693036,0.9952670723461798,0.23055501056264047,0.05833784018019763
breast_cancer,43,A040,ry+rz,left_ladder,1,2,5,8,0.3292445648795018,0.9233333333333333,0.8433333333333333,0.8820148749154835,0.9783637592968222,0.2952454465584249,0.0846549975395561
breast_cancer,43,A042,ry+rz,left_ladder,3,6,13,24,0.23996208440507472,0.8666666666666667,0.8633333333333333,0.8867478025693036,0.9844489519945909,0.22151303329705946,0.06459928775045781
breast_cancer,43,A045,ry+rz,right_ladder,2,4,9,16,0.2432839596631084,0.8866666666666667,0.88,0.8867478025693036,0.9830966869506423,0.22836564858879535,0.06561290598558098
breast_cancer,43,A047,ry+rz,right_ladder,4,8,17,32,0.34066407034978774,0.9183333333333333,0.8166666666666667,0.8722109533468559,0.9776876267748479,0.30506603564334267,0.08831800389548154
breast_cancer,43,A058,rx+ry+rz,left_ladder,3,6,16,36,0.2975254309838765,0.925,0.8566666666666667,0.9016227180527383,0.9763353617308992,0.27626342240839136,0.07787646112302611
breast_cancer,43,A059,rx+ry+rz,left_ladder,4,8,21,48,0.271667848227095,0.9116666666666666,0.9033333333333333,0.9384719405003381,0.9878296146044625,0.24141878226888344,0.06445266524368867
breast_cancer,43,A063,rx+ry+rz,right_ladder,4,8,21,48,0.24348581841485473,0.8833333333333333,0.8633333333333333,0.8867478025693036,0.9830966869506423,0.2291757466426821,0.06629717555900858
breast_cancer,71,A000,ry,full_chain,1,3,4,4,0.24215414262586615,0.895,0.88,0.8867478025693036,0.982420554428668,0.22627582665023915,0.06461944211393703
breast_cancer,71,A003,ry,full_chain,4,12,13,16,0.24035182482380407,0.875,0.8633333333333333,0.8867478025693036,0.9830966869506423,0.22508579705393408,0.0655540606276356
breast_cancer,71,A013,ry,right_ladder,2,4,7,8,0.24445273822133914,0.8683333333333334,0.8633333333333333,0.8867478025693036,0.9830966869506423,0.2319916764471995,0.06885234678659158
breast_cancer,71,A015,ry,right_ladder,4,8,13,16,0.24498653559021957,0.86,0.8633333333333333,0.8867478025693036,0.9830966869506423,0.23277352523955458,0.06928008816619222
breast_cancer,71,A018,rx+rz,full_chain,3,9,13,24,0.3233802072679226,0.915,0.8533333333333333,0.8918187964841109,0.9770114942528736,0.2912900443878141,0.08211874520012492
breast_cancer,71,A020,rx+rz,outer_pairs,1,2,4,8,0.30902690351103745,0.9199999999999999,0.8733333333333333,0.9016227180527383,0.9803921568627452,0.27954909182464166,0.07841104454504992
breast_cancer,71,A022,rx+rz,outer_pairs,3,6,10,24,0.2724906074254049,0.9116666666666666,0.9033333333333333,0.9384719405003381,0.9837728194726166,0.24552288567456557,0.06666847326625398
breast_cancer,71,A025,rx+rz,left_ladder,2,4,9,16,0.2940369545209053,0.9066666666666667,0.8733333333333333,0.9114266396213657,0.9830966869506423,0.26326596213599734,0.07222127880352472
breast_cancer,71,A037,ry+rz,outer_pairs,2,4,7,16,0.28885806998203484,0.9116666666666666,0.9133333333333333,0.9212305611899931,0.9945909398242055,0.2416257745892209,0.06268157174279795
breast_cancer,71,A040,ry+rz,left_ladder,1,2,5,8,0.24268027267695436,0.8716666666666666,0.8633333333333333,0.8867478025693036,0.9830966869506423,0.22911691323915315,0.06713921395600045
breast_cancer,71,A042,ry+rz,left_ladder,3,6,13,24,0.2561976773746911,0.8999999999999999,0.88,0.9039891818796484,0.9749830966869507,0.2460111875938685,0.06899997218922546
breast_cancer,71,A045,ry+rz,right_ladder,2,4,9,16,0.2419565563558633,0.895,0.88,0.8867478025693036,0.9830966869506423,0.22674184625912383,0.0651944859507854
breast_cancer,71,A047,ry+rz,right_ladder,4,8,17,32,0.24200784430413527,0.895,0.88,0.8867478025693036,0.9830966869506423,0.22694281998721183,0.06534603500988674
breast_cancer,71,A058,rx+ry+rz,left_ladder,3,6,16,36,0.26540794335611323,0.9016666666666666,0.8966666666666667,0.9039891818796484,0.9790398918187965,0.24900182987701397,0.06766011308813455
breast_cancer,71,A059,rx+ry+rz,left_ladder,4,8,21,48,0.26811928582347655,0.8966666666666667,0.8966666666666667,0.9039891818796484,0.9810682893847193,0.2523148548052904,0.06803660532636571
breast_cancer,71,A063,rx+ry+rz,right_ladder,4,8,21,48,0.27327082508771844,0.81,0.83,0.8695064232589587,0.9830966869506423,0.263606046537665,0.078197294914465
breast_cancer,101,A000,ry,full_chain,1,3,4,4,0.24328245150683675,0.8683333333333334,0.8633333333333333,0.8867478025693036,0.9830966869506423,0.230167406524666,0.06779807808771296
