dataset,backend,snapshot,architecture_id,entanglement,reps,twoq_count,logical_depth,probability_mae,probability_mae_seed_sd,probability_rmse,delta_logloss,delta_brier,delta_auc,delta_bacc,rotations,N2Q,Depth,E2Q,OLD,CARE,oneq,readout,relax,dephase
digits_01,ibm_kingston,4,A063,right_ladder,4,8,21,0.00428654743097035,0.0004942806810259361,0.00508017909981211,-0.006702740111073524,-0.0009265360941528208,0.0,0.0,rx+ry+rz,8.0,21.0,0.009863365014270592,0.09690841441297735,0.08781074251447575,0.022691095351887052,0.0061222182163648805,0.018195343797003175,0.03093872013495005
digits_01,ibm_kingston,7,A000,full_chain,1,3,4,0.006881110694486836,0.0012510072809940609,0.007937147993552753,-0.01577651704498617,-0.0008342419059381712,0.0,0.0,ry,3.0,4.0,0.0049272296326031695,0.03394627164937872,0.03181916096628852,0.007091368501732831,0.01203502184347814,0.004254221366180388,0.003511319622293992
digits_01,ibm_kingston,7,A003,full_chain,4,12,13,0.011809491887091602,0.0022730381528756898,0.012734728433990268,0.008883155781219945,0.0011797851689666604,0.0003255208333333333,0.0,ry,12.0,13.0,0.019708918530412678,0.08126003167143175,0.07446283615866472,0.017728421254332077,0.01203502184347814,0.013594391025534041,0.011396083504907787
digits_01,ibm_kingston,7,A013,right_ladder,2,4,7,0.0079015574339813,0.0020731579893282386,0.008799893814523004,-0.006679393096719795,-0.0001929922995765887,0.0,0.0,ry,4.0,7.0,0.0075930205806086885,0.045619037100858226,0.04240788775340444,0.010637052752599246,0.01203502184347814,0.006422298694907584,0.005720493881810782
digits_01,ibm_kingston,7,A015,right_ladder,4,8,13,0.008754132926511263,0.002833088645895616,0.009742169789852812,-0.08167220999871688,-0.0014946322222850496,0.0,0.0,ry,8.0,13.0,0.015186041161217377,0.07306305589302209,0.0672111729379791,0.017728421254332077,0.01203502184347814,0.011703765910085996,0.010557922768865502
digits_01,ibm_kingston,7,A018,full_chain,3,9,13,0.0067407856130609215,0.0006123448168171303,0.007893715547965715,-0.003941198322417276,-0.000404496010888387,0.0,0.0,rx+rz,9.0,13.0,0.014781688897809508,0.0654887783307474,0.06024827776120599,0.014182737003465663,0.01203502184347814,0.010481001139082824,0.008767828877369854
digits_01,ibm_kingston,7,A020,outer_pairs,1,2,4,0.005624512134104138,0.0005269682064446321,0.006616903883234382,-0.005622162719073602,-0.0006133096813330704,0.0,0.0,rx+rz,2.0,4.0,0.003415824599605422,0.030487296101262707,0.028740397897927414,0.007091368501732831,0.01203502184347814,0.0034937964066705848,0.002704386546440436
digits_01,ibm_kingston,7,A022,outer_pairs,3,6,10,0.007345503440276845,3.1337812850097454e-05,0.008478797215054701,-0.0018775640171942072,0.00010487798617352569,0.0003255208333333333,0.0,rx+rz,6.0,10.0,0.010247473798816267,0.05511185168639938,0.05101198855612267,0.014182737003465663,0.01203502184347814,0.008199726260553415,0.006347029649809186
digits_01,ibm_kingston,7,A025,left_ladder,2,4,9,0.00665375495576579,0.00016421268300119703,0.007812918533042697,-0.009412347633202126,-0.000948387229730091,0.0,0.0,rx+rz,4.0,9.0,0.005284248750593147,0.04147145022456368,0.03852712176659811,0.010637052752599246,0.01203502184347814,0.005888656915931142,0.0046821415039964365
digits_01,ibm_kingston,7,A037,outer_pairs,2,4,7,0.006831411422454835,0.0009553569486068416,0.008016638621425896,-0.01164694869560895,-0.001191120861811899,0.0,0.0,ry+rz,4.0,7.0,0.006831649199210844,0.042799573893831044,0.03987619322702504,0.010637052752599246,0.01203502184347814,0.005846761333612001,0.004525708098124813
digits_01,ibm_kingston,7,A040,left_ladder,1,2,5,0.009211094821898524,0.002738030487306494,0.009905158259907745,0.00310247523072212,0.0004537303259403609,0.0,0.0,ry+rz,2.0,5.0,0.0026421243752965734,0.02982323426662903,0.028065862167713947,0.007091368501732831,0.01203502184347814,0.0035147441978301552,0.002782603249376248
digits_01,ibm_kingston,7,A042,left_ladder,3,6,13,0.010166918498951827,0.002384681412819075,0.011189803208642412,-6.465158693084543e-05,0.0006434081033349729,0.0,0.0,ry+rz,6.0,13.0,0.00792637312588972,0.05311966618249833,0.04898838136548227,0.014182737003465663,0.01203502184347814,0.008262569634032126,0.0065816797586166235
digits_01,ibm_kingston,7,A045,right_ladder,2,4,9,0.009119965619648259,0.0012575159233323891,0.009862548237045804,0.0069503837615043544,0.000902165573159581,0.0,0.0,ry+rz,4.0,9.0,0.0075930205806086885,0.045619037100858226,0.04240788775340444,0.010637052752599246,0.01203502184347814,0.006422298694907584,0.005720493881810782
digits_01,ibm_kingston,7,A047,right_ladder,4,8,17,0.009538733948654274,0.002525040267346753,0.010359816706432486,0.002216037013831995,0.00038921148842808545,0.0,0.0,ry+rz,8.0,17.0,0.015186041161217377,0.07306305589302209,0.0672111729379791,0.017728421254332077,0.01203502184347814,0.011703765910085996,0.010557922768865502
digits_01,ibm_kingston,7,A058,left_ladder,3,6,16,0.0078004953359055995,0.0016566603118721044,0.009071123332591363,-0.0012945142623856931,-3.2207030323083696e-05,0.0,0.0,rx+ry+rz,6.0,16.0,0.00792637312588972,0.07153965557814704,0.06569712354153721,0.024819789756064907,0.01203502184347814,0.011685064073219635,0.009230874742884804
digits_01,ibm_kingston,7,A059,left_ladder,4,8,21,0.010100397094339924,0.005643023049385826,0.011349737868387463,0.0024928848554298944,8.941039450116595e-05,0.0003255208333333333,0.005208333333333333,rx+ry+rz,8.0,21.0,0.010568497501186292,0.08932786800129791,0.08172796386577302,0.031911158257797737,0.01203502184347814,0.015199808271049794,0.012013477992261054
